a01;a02;a0000;a0400;a04;a0800;a0100;a0320;a1030;a1040;a0910;a1100;a1200;a1300;a1400;a1410;a1420a;a1420b;a1420c;a1420d;a1420e;a1420f;a1420g;a1500;a1510;a1600;a1520;a1530;a2000;a1700;a1710;a1900;a2100;a2200;a2300;a2500;a2400;a2600;a2700;b0100;b0110a;b0110b;b0110c;b0110d;b0110e;b0110f;b0110g;b0120a;b0120b;b0120c;b0120d;b0120e;b0120f;b0130a;b0130b;b0130c;b0208;b0308;b0408;b0201;b0301;b0401;b0202;b0302;b0402;b0203;b0303;b0403;b0204;b0304;b0404;b0205;b0305;b0405;b0206;b0306;b0406;b0207;b0307;b0407;b0209;b0309;b0409;b0210;b0310;b0410;b0212;b0312;b0412;b1100a;b1100b;b1100c;b1100d;b1100e;b1100f;b1100g;b1100i;b1100h;b0502;b0503;b0600;b0720a;b0720b;b0720c;b0720d;b0720e;b0720f;b0720g;b0720h;b0720i;b0710a;b0710b;b0710c;b0710d;b0710e;b0710f;b0710g;b0710h;b0710i;b1000a;b1000b;b1000c;b1000d;b1000e;b1000f;b1000g;b1000h;b1000i;b1000j;b1103;b1201;b1203a;b1203b;b1203c;b1203d;b1203e;b1203f;b1203g;b1204a;b1204b;b1204c;b1204d;b1204e;b1204f;b1204g;b1205a;b1205b;b1205c;b1205d;b1205e;b1206a;b1206b;b1206c;b1206d;b1206e;b1207a;b1207b;b1207c;b1208a;b1208b;b1208c;b1208d;b1209a;b1209b;b1209c;b1209d;b1230a;b1230b;b1230c;b1230d;b1230e;b1230f;b1230g;b1230h;c0100;c0200a;c0200b;c0200c;c0200d;c0200e;c0200f;c0200g;c0200h;c0200i;c0200j;c0200k;c0300;c0500;c0600a;c0600b;c0600c;c0600d;c0600e;c0600f;c0600g;c0600h;c0600i;c0600j;c0600k;c0400a;c0400b;c0400c;c0400d;c0400e;c0400f;c0400g;c0400h;c0400i;c0400j;c0400k;c0400l;c0400m;c0400n;d0101;d0104;d0110;d0113;d0102;d0114;d0115;d0117;d0103;d0116;d0105;d0106;d0107;d0108;d0109;d0111;d0112;d0300;d0400;d0500;d0600;d0610a;d0610b;d0610c;d0610d;d0610e;e0100;e0500;e0600;e0700;e0800;e0900;e1001;e1002;e1003;e1004;e1005;e1200;e1101;e0401;e0402;e0300;e1400;e1500;e1600;e1701;e1702;e1800;e1300;i0100;i0200a;i0200b;i0200c;i0200d;i0200e;i0200h;i0200f;i0200g;i0200j;i0300;i0500a;i0500b;i0500c;i0500d;i0500e;i0500f;i0500g;i0500h;i0500i;i0500k;i0500j;i0800;i0510;i0520a;i0520b;i0520c;i0520e;i0520f;i0520d;i0520g;i0601;i0602;i0700;i0900;i1000;i0400a;i0400b;i0400c;i0400d;i0400e;j0100;j0110;j0200;j0300a;j0300b;j0300c;j0300d;j0300e;j0300f;j0300g;j0300h;j0300i;j0300j;j0300k;j0300l;j0300m;j0300n;j0300p;j0300o;j0400;j0500;j0600;j0700;j0800a;j0800b;j0800c;j0800d;j0800e;j0800f;j0800h;j0800g;j0810;j0900a;j0900b;j0900c;j0900d;j0910a;j0910b;j0910c;j0910d;j0910e;j0910f;j0920;j1000;j1100;j1201;j1202;j1203;j1300;j1400;j1600;k1908;k1901;k1902;k1903;k1904;k1905;k1906;k1907;k1909;k1910;k1912;k0100;k0500;k0600;k0700;k0800;k0900;k1001;k1002;k1003;k1004;k1005;k1200;k1101;k0401;k0402;k0300;k1400;k1500;k1600;k1701;k1702;k1800;k1300;k2020;negativa_pmi;tmp_e0401;age;f0900a;f1000a;weight;a0940;a0930;a0300;a0310;ccaaf;a0930_b;a0950;f1100;f1200;f1200_b;f1300;a0900b;a0900c;a0900d;a0900e;a0900f;a0900l;a0900j;a0900h;a0900g;a0900i;a0900a;a0900k;a1800;a0200;f0900b;f1000b;f0900c;f1000c;f0900d;f1000d;f0900e;f1000e;ID
2022;3;0;1957;64;-98;1;0;2;2;2;2;-98;-98;1;0;0;0;0;0;0;0;1;5;4;-98;-98;-98;-98;1;-97;0;-98;-98;0;2;6;11;5;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;-98;-98;1;0;0;0;-98;-98;1;0;0;1;1;1;1;0;0;1;0;0;0;-98;-98;0;-98;-98;-98;-98;-98;-98;0;-98;7;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1;0;4;1;0;0;1;0;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;1;0;0;0;0;0;0;0;0;0;0;0;5;5;5;4;1;5;-97;5;1;3;4;5;4;3;4;1;4;1;1;-98;50;3;5;2;0;0;1;200;3;0;-97;1;-97;1;-97;0;10;0;3;3;24;-97;10;0;1;1;2;4;5;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;1;1;0;0;0;0;0;1981;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;7;3;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2;150;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;3;-5;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;112.25;64;1;1;9286.7021;1;64;-98;-98;1;-98;39;1;64;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;95;1;1;1;-98;-98;-98;-98;-98;-98;11
2022;4;0;1987;35;-98;1;0;2;2;3;4;-98;-98;2;0;0;0;0;0;0;0;1;2;4;-98;1;-98;3;-98;15;0;100;50;-98;3;2;6;6;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;1;1;1;0;0;1;0;0;1;0;0;0;-98;-98;0;-98;-98;-98;-98;-98;-98;0;1;6;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;-99;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;5;1;1;1;4;1;2;3;5;4;1;3;1;4;1;0;-98;50;0;2;3;5;0;3;200;1;0;-97;1;1;-97;-97;0;5;0;1;3;24;5;1;30;1;1;2;6;7;2;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;0;0;0;2;3;5;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;500;2;1500;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;0;3;-98;3;1;1;1;1;1;1;1;1;1;1;0;2;200;1;0;250;1;1;1;0;-98;5;0;3;-5;-5;-5;-5;-5;-5;-5;-5;-5;10;3;0;54.52;35;1;1;2094.7771;1;39;-98;-98;11;-98;13;2;39;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;56;11;1;1;-98;-98;-98;-98;0;0;12
2022;6;1;1966;55;-98;1;0;2;2;4;6;-98;1;3;1;1;0;0;0;0;0;0;2;11;-98;1;-98;2;-98;33;0;10;20;-98;8;2;11;6;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;-98;-98;1;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;-98;0;-98;1;-98;-98;0;-98;4;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;1;1;2;1;0;0;0;0;0;0;1;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;3;2;4;3;3;2;1;3;3;2;2;2;1;4;0;-98;1;10;1;0;1;8;0;3;200;3;0;102;2;1;1;1;-98;7;1;1;3;18;100;10;30;4;1;2;1;7;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;1;0;1;1;1;0;0;0;2010;-98;-98;-98;-98;-98;-98;-98;-98;1;1;840;35;1;0;1;8;1;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;-97;-98;5000;1;1;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;5;-5;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;62.11;55;1;1;1438.7893;0;52;-98;-98;15;-98;22;1;55;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;31;15;1;1;-98;-98;-98;-98;0;0;13
2021;12;0;1980;41;-98;0;1;1;-98;2;4;-98;-98;2;0;0;0;0;0;0;0;1;5;11;-98;-98;-98;-98;1;18;0;-98;-98;100;-98;-98;5;7;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;0;1;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;-97;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;2;4;4;2;4;2;1;4;5;5;3;5;1;4;1;0;-98;0;0;2;5;2;1;2;200;1;0;102;2;1;1;1;-98;6;1;1;3;24;500;1;10;4;1;1;6;8;3;0;0;0;1;0;0;0;0;0;300;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;10;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;300;2;500;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;1;1;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;82.73999999999999;41;1;1;3014.8184;-98;-98;100;2016;8;-98;-98;1;41;-98;0;0;1;0;0;0;0;0;0;0;0;0;0;95;-98;-98;-98;-98;-98;-98;-98;0;0;14
2021;12;0;1974;47;-98;1;0;2;-97;3;3;-98;-98;1;0;0;0;0;0;0;0;1;2;11;-98;2;-98;2;-98;18;0;0;0;-98;3;2;7;7;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;-98;-98;0;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;67;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;5;5;4;3;4;1;3;4;1;1;1;1;5;1;1;5;1;0;-98;40;5;0;4;0;1;3;-97;2;0;1300;1;-97;1;1;-98;5;1;1;-97;24;-97;-97;30;2;1;2;-97;5;3;1;0;0;0;0;1;0;0;0;200;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;10;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;500;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;3;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;58.1;47;1;1;3869.7461;1;48;-98;-98;7;-98;29;1;47;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;92;7;0;1;-98;-98;-98;-98;0;1;15
2022;3;0;1989;32;-98;1;0;1;-98;3;4;-98;-98;2;0;1;0;0;0;0;0;0;1;9;9;1;1;-98;-98;16;0;100;-98;-98;6;5;5;8;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;1;0;6;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;63;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;5;4;4;2;4;3;1;4;4;4;5;2;1;4;0;-98;0;35;5;5;0;0;0;2;200;3;0;110;1;1;1;0;-98;1;1;2;3;24;60;2;30;2;1;1;3;5;3;0;0;0;1;0;0;1;0;0;390;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;1;1;4;4;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;50;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;0;3;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;58.65;32;1;1;6137.2813;1;32;-98;-98;5;-98;5;1;32;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;14;5;1;1;-98;-98;-98;-98;0;0;16
2022;5;0;1999;22;-98;0;1;3;-98;4;4;-98;-98;2;0;0;0;0;0;0;0;1;2;4;-98;2;-98;4;-98;1;0;50;70;-98;4;5;11;8;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;-98;-98;1;0;0;0;-98;-98;0;-98;-98;0;-98;-98;1;0;0;0;-98;-98;1;0;0;1;0;0;0;-98;-98;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-97;-97;-97;-97;-97;-97;-97;-97;6;0;0;0;1;1;0;0;0;0;0;0;-97;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2;6;4;4;3;4;2;2;1;1;2;4;4;1;4;1;1;1;0;-98;0;0;0;10;0;0;2;-97;2;0;-97;4;1;1;1;-98;5;0;3;3;18;5;10;30;4;2;2;6;1;3;0;1;0;0;0;0;0;0;0;500;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;10;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;100;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;0;1;2;-98;3;1;1;0;1;1;0;1;1;1;1;1;3;200;3;0;-97;1;1;1;1;-98;7;1;3;3;24;500;10;30;4;1;2;1;6;3;0;131.58;22;0;0;4197.2192;1;-96;0;2020;16;25;3;2;-96;25;1;1;0;0;0;0;0;0;0;0;0;0;0;57;-98;1;1;-98;-98;-98;-98;0;1;17
2021;11;1;1998;23;-98;1;0;1;-98;3;4;-98;-98;2;0;1;0;0;0;0;0;0;2;11;-98;1;-98;3;-98;3;0;20;60;-98;-98;-98;11;9;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1;0;4;1;0;0;1;0;0;0;0;0;1;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;4;4;3;1;2;3;2;1;2;3;4;4;3;3;1;4;1;1;-98;35;2;0;7;0;1;2;250;3;0;110;3;1;0;0;-98;6;0;1;3;18;5;1;30;4;1;2;2;7;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;1;0;0;0;0;0;0;2010;-98;-98;-98;-98;-98;-98;-98;-98;1;1;-97;-97;0;0;0;2;8;0;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;200;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;0;5;-98;2;0;1;1;1;1;1;1;1;1;1;1;4;200;3;0;102;2;1;1;0;-98;6;0;2;3;18;500;1;30;3;1;2;1;6;3;0;61.47;23;0;0;6268.3364;-98;-98;-98;-98;10;-98;-98;4;55;-98;1;0;0;0;1;0;0;0;0;0;0;0;0;52;10;-98;-98;1;1;1;1;-98;-98;18
2022;1;1;2001;20;-98;1;0;1;-98;3;4;-98;-98;5;0;0;1;0;0;0;0;0;9;11;7;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;2;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;1;0;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;1;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1;0;4;1;1;1;1;0;1;1;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;4;5;4;2;4;2;1;2;2;4;3;3;3;2;1;4;0;-98;1;25;2;2;6;0;0;3;200;3;0;102;1;1;1;1;-98;8;1;1;3;18;5;10;30;4;1;2;1;9;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;0;1;1;1;0;0;0;0;2004;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;1;6;3;0;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;450;2;4500;0;0;0;1;0;0;0;0;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;6;-5;1;1;1;1;1;1;1;1;1;1;1;1;5;200;3;0;102;1;1;1;1;-98;10;1;1;3;18;5;10;30;4;1;2;1;10;3;0;73.12;20;0;0;672.11249;-98;-98;-98;-98;17;-98;-98;4;-96;55;1;0;0;0;1;0;0;0;0;0;0;0;0;-98;17;-98;-98;1;0;1;1;-98;-98;19
2022;5;1;1969;52;-98;1;0;5;-98;2;3;-98;-98;1;0;0;0;0;0;0;0;1;2;1;-98;1;2;2;-98;40;0;0;50;-98;-98;-98;11;7;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;1;0;7;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-97;-97;-97;-97;-97;-97;-97;-97;3;1;0;0;0;0;0;0;0;0;1;0;67;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;2;4;4;3;4;4;4;4;2;2;5;5;4;4;1;1;-98;100;5;0;0;5;0;2;200;2;0;-97;3;1;1;1;-98;5;0;-97;-99;-99;-97;-97;30;4;1;1;7;4;2;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;1;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;-99;-99;-99;-99;-99;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;300;2;250;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;1;1;0;0;0;3;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;21.52;52;1;1;3183.6763;-98;-98;-98;-98;14;-98;-98;1;52;-98;1;0;1;0;0;0;0;0;0;0;0;0;0;96;14;-98;-98;-98;-98;-98;-98;0;0;20
2022;2;1;1949;72;-98;1;0;2;1;4;5;-98;-98;1;0;1;0;1;1;1;0;0;6;11;-98;-98;-98;-98;1;41;1;-98;-98;-98;8;4;11;4;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;-98;-98;-98;-98;-98;0;-98;8;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;1;0;1;0;0;1;0;1;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;5;1;5;1;1;1;4;2;5;5;1;1;6;5;0;-98;0;0;0;10;0;0;0;4;200;3;0;102;2;1;1;1;-98;10;1;1;3;22;500;0;30;3;1;1;1;8;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;0;0;0;0;0;1997;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;10;0;0;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;1000;2;500;0;1;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;1;4;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;97.41;72;1;1;5570.4805;0;-96;-98;-98;5;50;22;1;72;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;13;5;1;1;-98;-98;-98;-98;0;0;21
